channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
99,1.77,8.761111111111111,3.8055555555555554,1.9,2.08,30.738888888888887,9.466666666666667
100,1.7433333333333334,8.783333333333333,3.861111111111111,2.0033333333333334,2.026666666666667,30.58888888888889,8.955555555555556
101,1.7533333333333334,9.127777777777778,3.3944444444444444,1.9366666666666668,2.15,30.761111111111113,8.977777777777778
102,1.8333333333333333,9.21111111111111,3.7,1.85,1.9866666666666666,30.772222222222222,9.027777777777779
103,1.7733333333333334,9.311111111111112,3.816666666666667,1.8233333333333333,1.9233333333333333,31.238888888888887,8.694444444444445
104,1.62,9.55,3.727777777777778,1.9033333333333333,1.9166666666666667,29.31111111111111,9.166666666666666
105,1.6433333333333333,9.827777777777778,3.6222222222222222,1.8066666666666666,1.7433333333333334,28.833333333333332,8.755555555555556
106,1.6733333333333333,9.616666666666667,3.6944444444444446,1.8033333333333332,1.85,27.694444444444443,8.394444444444444
107,1.7,9.633333333333333,3.911111111111111,1.6166666666666667,1.7166666666666666,25.36111111111111,8.077777777777778
108,1.5,10.566666666666666,3.8444444444444446,1.5833333333333333,1.7466666666666666,23.633333333333333,7.222222222222222
109,1.5066666666666666,10.161111111111111,3.6555555555555554,1.73,1.65,20.816666666666666,6.144444444444445
110,1.5066666666666666,10.03888888888889,3.672222222222222,1.5866666666666667,1.57,19.033333333333335,5.8
111,1.3933333333333333,9.661111111111111,3.433333333333333,1.3966666666666667,1.4966666666666666,16.961111111111112,5.294444444444444
112,1.35,10.327777777777778,3.8,1.44,1.49,13.655555555555555,4.872222222222222
113,1.24,10.255555555555556,3.827777777777778,1.33,1.4566666666666668,12.655555555555555,4.338888888888889
114,1.25,10.466666666666667,3.488888888888889,1.3366666666666667,1.55,10.588888888888889,3.716666666666667
115,1.2733333333333334,9.744444444444444,3.7,1.33,1.3433333333333333,9.13888888888889,3.022222222222222
116,1.2833333333333334,10.15,3.477777777777778,1.1566666666666667,1.2166666666666666,7.633333333333334,2.772222222222222
117,1.04,9.911111111111111,3.183333333333333,1.1933333333333334,1.16,6.816666666666666,2.661111111111111
118,1.1466666666666667,9.883333333333333,3.45,1.0566666666666666,1.22,5.8,2.3833333333333333
119,1.23,9.894444444444444,3.361111111111111,1.15,1.0966666666666667,4.927777777777778,2.1333333333333333
120,1.0933333333333333,9.188888888888888,2.911111111111111,1.0566666666666666,1.08,4.4222222222222225,1.7777777777777777
121,1.12,9.105555555555556,3.216666666666667,1.0033333333333334,1.15,3.6166666666666667,1.6611111111111112
122,0.9866666666666667,8.911111111111111,3.066666666666667,0.8433333333333334,1.09,3.1333333333333333,1.4777777777777779
